actor,condition,arm,coverage,lr,seed,checkpoint,cal_changed,cal_harm,cal_all24,cal_all_program_questions,cal_dir0,cal_dir1,cal_by_family,cal_sparse_changed,cal_sparse_harm,cal_sparse_all12,feasible,selected,train_loss,reg_train,steps,slots,train_seconds,eval_seconds,realized_norm,frobenius
gemma,FREE_COMPLETE_SINGLE,FREE_OVERWRITE,complete,0.001,0,2,0.9774305555555557,0.015046296296296294,0.75,0.75,0.9791666666666666,0.9756944444444445,"{""both"": 0.975, ""direct"": 0.9958333333333333, ""either"": 0.9833333333333333, ""opposes"": 1.0, ""same"": 0.925}",0.9652777777777777,0.0,0.875,True,True,0.005700600060146776,0.007366144694969989,1440,5760,170.28960908099998,24.346005299000353,76.86144189488135,258.0877316214689
gemma,FREE_COMPLETE_SINGLE,FREE_OVERWRITE,complete,0.001,1,0,0.8871527777777777,0.01736111111111111,0.3958333333333333,0.3958333333333333,0.954861111111111,0.8194444444444443,"{""both"": 0.9083333333333333, ""direct"": 0.99375, ""either"": 0.9375, ""opposes"": 0.9916666666666667, ""same"": 0.8166666666666667}",0.9409722222222223,0.016203703703703703,0.75,True,False,,,0,0,0.0,24.358843064999746,75.1033201947039,240.7257341192264
gemma,FREE_COMPLETE_SINGLE,FREE_OVERWRITE,complete,0.001,1,1,0.953125,0.013310185185185184,0.6458333333333334,0.6458333333333334,0.9236111111111112,0.982638888888889,"{""both"": 0.9791666666666666, ""direct"": 0.9916666666666667, ""either"": 0.9666666666666667, ""opposes"": 0.9833333333333333, ""same"": 0.8833333333333333}",0.9583333333333334,0.013888888888888888,0.8333333333333334,True,True,0.02451095202863674,0.009342676148258356,720,2880,170.2587545840006,24.381377049000548,84.90856559053206,276.9376592495798
gemma,FREE_COMPLETE_SINGLE,FREE_OVERWRITE,complete,0.001,1,2,0.9513888888888888,0.007523148148148148,0.6458333333333334,0.6458333333333334,0.923611111111111,0.9791666666666666,"{""both"": 0.9916666666666667, ""direct"": 0.9979166666666667, ""either"": 0.975, ""opposes"": 0.9833333333333333, ""same"": 0.8708333333333333}",0.9618055555555557,0.011574074074074075,0.7708333333333334,True,False,0.011303331633502643,0.009783688072477363,1440,5760,167.70961713900033,24.54109415699986,89.85332194705767,289.50884147244454
qwen,INV_SPARSE_CONTINUE,INVARIANT_SET,sparse,0.0003,0,0,0.907986111111111,0.1082175925925926,0.14583333333333334,0.14583333333333334,0.875,0.9409722222222222,"{""both"": 0.9125, ""direct"": 0.9729166666666667, ""either"": 0.7375, ""opposes"": 0.9291666666666667, ""same"": 0.825}",0.9375,0.03009259259259259,0.5625,False,True,,,0,0,0.0,19.6940688470022,17.474431900791426,56.54174598175588
qwen,INV_SPARSE_CONTINUE,INVARIANT_SET,sparse,0.0003,0,1,0.9461805555555557,0.13773148148148148,0.08333333333333333,0.08333333333333333,0.96875,0.9236111111111112,"{""both"": 0.8958333333333334, ""direct"": 0.9770833333333333, ""either"": 0.6833333333333333, ""opposes"": 0.9791666666666666, ""same"": 0.875}",0.9583333333333334,0.02314814814814815,0.6041666666666666,False,False,0.04337840348949383,0.00404281847554052,720,2880,158.0834075999992,19.68665396399956,15.11275097483842,51.41397107226036
qwen,INV_SPARSE_CONTINUE,INVARIANT_SET,sparse,0.0003,0,2,0.8802083333333334,0.12094907407407407,0.125,0.125,0.8472222222222223,0.9131944444444445,"{""both"": 0.7958333333333333, ""direct"": 0.96875, ""either"": 0.775, ""opposes"": 0.9458333333333333, ""same"": 0.7791666666666667}",0.90625,0.03356481481481482,0.4583333333333333,False,False,0.008619529528605967,0.0032637687307821277,1440,5760,157.22970882899972,19.71078744999977,13.267133806948136,46.06160244900011
qwen,INV_SPARSE_CONTINUE,INVARIANT_SET,sparse,0.0003,1,0,0.921875,0.07118055555555555,0.1875,0.1875,0.9270833333333334,0.9166666666666666,"{""both"": 0.9625, ""direct"": 0.975, ""either"": 0.7791666666666667, ""opposes"": 0.975, ""same"": 0.8458333333333333}",0.9479166666666666,0.011574074074074072,0.6458333333333334,False,True,,,0,0,0.0,19.735260571000254,17.091964878645655,56.29864879772801
qwen,INV_SPARSE_CONTINUE,INVARIANT_SET,sparse,0.0003,1,1,0.9496527777777778,0.10185185185185186,0.16666666666666666,0.16666666666666666,0.954861111111111,0.9444444444444443,"{""both"": 0.8958333333333334, ""direct"": 0.9729166666666667, ""either"": 0.775, ""opposes"": 0.9541666666666667, ""same"": 0.9}",0.9722222222222222,0.018518518518518514,0.7083333333333334,False,False,0.05237864776590138,0.0037075758643267264,720,2880,158.3748718300012,19.695817118998093,14.132780363551237,47.95031934930358
qwen,INV_SPARSE_CONTINUE,INVARIANT_SET,sparse,0.0003,1,2,0.9305555555555557,0.11458333333333333,0.20833333333333334,0.20833333333333334,0.90625,0.9548611111111112,"{""both"": 0.8375, ""direct"": 0.975, ""either"": 0.7833333333333333, ""opposes"": 0.9833333333333333, ""same"": 0.8958333333333334}",0.9583333333333334,0.027777777777777776,0.6666666666666666,False,False,0.009644307721035649,0.0031106739726965314,1440,5760,156.74111408599856,19.709049928998866,12.287449107899784,43.24672312306761
