actor,condition,program,changed,harm,conditional_harm,all24,all_program_questions,accuracy,accuracy_all_program_questions,touched_accuracy,other_address_error,preservation,nonaddressed_change,additional_accuracy,additional_rows,n_scenes,n_rows,disagreement_vs_single,disagreement_count,disagreement_denominator,mean_abs_dlogp_vs_single,energy,cast_error,commands,shared_from,shared_from_condition,by_family
gemma,INV_SPARSE_CONTINUE_s1,single,0.9348958333333333,0.018229166666666664,0.01875,0.59375,0.59375,0.95703125,0.95703125,0.975,0.025,0.98125,0.0234375,,,64,1536,0.0,0,1536,0.0,36995.931884765625,0.5100796287879348,1.0,[],[],"{""both"": 0.94140625, ""direct"": 0.98828125, ""either"": 0.984375, ""opposes"": 0.9765625, ""same"": 0.86328125}"
gemma,INV_SPARSE_CONTINUE_s1,noop,,0.024739583333333332,0.027447024593763723,0.546875,0.546875,0.95703125,0.95703125,0.971875,0.05357142857142856,0.9725529754062363,0.0234375,,,64,1536,0.4609375,708,1536,0.32172274800270156,46065.007080078125,0.5417957603931427,1.0,[],[],"{""both"": 0.9921875, ""direct"": 0.9921875, ""either"": 0.94921875, ""opposes"": 0.9765625, ""same"": 0.83984375}"
gemma,INV_SPARSE_CONTINUE_s1,repeat2,0.9348958333333333,0.014322916666666666,0.01484375,0.59375,0.59375,0.958984375,0.958984375,0.975,0.0203125,0.9851562500000001,0.01171875,,,64,1536,0.001953125,3,1536,0.004205358185399651,36995.925201416016,0.5100797154009342,2.0,"[""single""]","[""INV_SPARSE_CONTINUE_s1""]","{""both"": 0.94140625, ""direct"": 0.994140625, ""either"": 0.984375, ""opposes"": 0.9765625, ""same"": 0.86328125}"
gemma,INV_SPARSE_CONTINUE_s1,repeat4,0.9348958333333333,0.018229166666666664,0.01875,0.59375,0.59375,0.95703125,0.95703125,0.975,0.025,0.98125,0.0234375,,,64,1536,0.0,0,1536,0.0030722255891101704,36995.92825317383,0.5100799715146422,4.0,"[""repeat2"", ""single""]","[""INV_SPARSE_CONTINUE_s1""]","{""both"": 0.94140625, ""direct"": 0.98828125, ""either"": 0.984375, ""opposes"": 0.9765625, ""same"": 0.86328125}"
gemma,INV_SPARSE_CONTINUE_s1,repeat8,0.9348958333333333,0.014322916666666666,0.01484375,0.59375,0.59375,0.958984375,0.958984375,0.975,0.0203125,0.9851562500000001,0.01171875,,,64,1536,0.001953125,3,1536,0.005268611527190122,36995.92791748047,0.5100797400809824,8.0,"[""repeat2"", ""repeat4"", ""single""]","[""INV_SPARSE_CONTINUE_s1""]","{""both"": 0.94140625, ""direct"": 0.994140625, ""either"": 0.984375, ""opposes"": 0.9765625, ""same"": 0.86328125}"
gemma,INV_SPARSE_CONTINUE_s1,restore,,0.024739583333333332,0.027447024593763723,0.5625,0.5625,0.9583333333333333,0.9583333333333333,0.975,0.05357142857142856,0.9725529754062363,0.0234375,,,64,1536,0.4622395833333333,710,1536,0.32063077064946793,46065.00653076172,0.5417946875095367,2.0,"[""noop""]","[""INV_SPARSE_CONTINUE_s1""]","{""both"": 0.9921875, ""direct"": 0.9921875, ""either"": 0.953125, ""opposes"": 0.9765625, ""same"": 0.84375}"
gemma,INV_SPARSE_CONTINUE_s1,restore_after4,,0.024739583333333332,0.027447024593763723,0.546875,0.546875,0.9576822916666666,0.9576822916666666,0.9734375,0.05357142857142856,0.9725529754062363,0.0234375,,,64,1536,0.4615885416666667,709,1536,0.32133499529323944,46065.00177001953,0.5417947857640684,5.0,"[""noop"", ""restore""]","[""INV_SPARSE_CONTINUE_s1""]","{""both"": 0.9921875, ""direct"": 0.9921875, ""either"": 0.94921875, ""opposes"": 0.9765625, ""same"": 0.84375}"
gemma,INV_SPARSE_CONTINUE_s1,overwrite,0.9348958333333333,0.015624999999999998,0.01614583333333333,0.609375,0.609375,0.9583333333333334,0.9583333333333334,0.975,0.021875,0.9838541666666667,0.015625,,,64,1536,0.0013020833333333333,2,1536,0.004313362895868996,36995.93130493164,0.5100799361243844,3.0,"[""repeat2"", ""repeat4"", ""single""]","[""INV_SPARSE_CONTINUE_s1""]","{""both"": 0.94140625, ""direct"": 0.9921875, ""either"": 0.984375, ""opposes"": 0.9765625, ""same"": 0.86328125}"
gemma,INV_SPARSE_CONTINUE_s1,AB,0.9407552083333334,0.07161458333333333,0.07517361111111111,0.40625,0.40625,0.92578125,0.92578125,0.8921874999999999,0.013020833333333332,0.9248263888888888,0.015625,,,64,1536,0.2981770833333333,458,1536,0.29024982773298663,66429.67114257812,0.5236809272319078,2.0,[],[],"{""both"": 0.92578125, ""direct"": 0.9921875, ""either"": 0.89453125, ""opposes"": 1.0, ""same"": 0.75}"
gemma,INV_SPARSE_CONTINUE_s1,BA,0.9407552083333334,0.07161458333333333,0.07517361111111111,0.40625,0.40625,0.92578125,0.92578125,0.8921874999999999,0.013020833333333332,0.9248263888888888,0.015625,,,64,1536,0.2981770833333333,458,1536,0.29024982773298663,66429.67114257812,0.5236809272319078,2.0,"[""AB""]","[""INV_SPARSE_CONTINUE_s1""]","{""both"": 0.92578125, ""direct"": 0.9921875, ""either"": 0.89453125, ""opposes"": 1.0, ""same"": 0.75}"
