actor,condition,program,n,max_workspace,max_bf16,hash_equal_single_fraction
gemma,INV_SPARSE_CONTINUE_s1,repeat8,64,2.6702880859375e-05,0.015625,0.109375
gemma,INV_SPARSE_CONTINUE_s1,restore,64,11.447036743164062,11.46875,0.0
gemma,INV_SPARSE_CONTINUE_s1,restore_after4,64,11.447036743164062,11.46875,0.0
qwen,CANONICAL_CURRENT_s0,AB,32,,,0.0
qwen,CANONICAL_CURRENT_s0,ABC,32,,,0.0
qwen,CANONICAL_CURRENT_s0,AB_cross,32,,,0.0
qwen,CANONICAL_CURRENT_s0,BA,32,,,0.0
qwen,CANONICAL_CURRENT_s0,CBA,32,,,0.0
qwen,CANONICAL_CURRENT_s0,noop,32,3.777406692504883,3.75,0.0
qwen,CANONICAL_CURRENT_s0,overwrite,32,0.0,0.0,1.0
qwen,CANONICAL_CURRENT_s0,repeat2,32,0.0,0.0,1.0
qwen,CANONICAL_CURRENT_s0,repeat4,32,0.0,0.0,1.0
qwen,CANONICAL_CURRENT_s0,repeat8,32,0.0,0.0,1.0
qwen,CANONICAL_CURRENT_s0,restore,32,3.777406692504883,3.75,0.0
qwen,CANONICAL_CURRENT_s0,restore_after4,32,3.777406692504883,3.75,0.0
qwen,CANONICAL_CURRENT_s1,AB,32,,,0.0
qwen,CANONICAL_CURRENT_s1,ABC,32,,,0.0
qwen,CANONICAL_CURRENT_s1,AB_cross,32,,,0.0
qwen,CANONICAL_CURRENT_s1,BA,32,,,0.0
qwen,CANONICAL_CURRENT_s1,CBA,32,,,0.0
qwen,CANONICAL_CURRENT_s1,noop,32,2.9744644165039062,3.0,0.0
qwen,CANONICAL_CURRENT_s1,overwrite,32,0.0,0.0,1.0
qwen,CANONICAL_CURRENT_s1,repeat2,32,0.0,0.0,1.0
qwen,CANONICAL_CURRENT_s1,repeat4,32,0.0,0.0,1.0
qwen,CANONICAL_CURRENT_s1,repeat8,32,0.0,0.0,1.0
qwen,CANONICAL_CURRENT_s1,restore,32,2.9744644165039062,3.0,0.0
qwen,CANONICAL_CURRENT_s1,restore_after4,32,2.9744644165039062,3.0,0.0
qwen,FREE_COMPLETE_SINGLE_s0,AB,32,,,0.0
qwen,FREE_COMPLETE_SINGLE_s0,ABC,32,,,0.0
qwen,FREE_COMPLETE_SINGLE_s0,AB_cross,32,,,0.0
qwen,FREE_COMPLETE_SINGLE_s0,BA,32,,,0.0
qwen,FREE_COMPLETE_SINGLE_s0,CBA,32,,,0.0
qwen,FREE_COMPLETE_SINGLE_s0,noop,32,5.464046478271484,5.5,0.0
qwen,FREE_COMPLETE_SINGLE_s0,overwrite,32,1.8747234344482422,1.875,0.0
qwen,FREE_COMPLETE_SINGLE_s0,repeat2,32,1.511298656463623,1.51171875,0.0
qwen,FREE_COMPLETE_SINGLE_s0,repeat4,32,2.7289466857910156,2.75,0.0
qwen,FREE_COMPLETE_SINGLE_s0,repeat8,32,3.5920028686523438,3.5,0.0
qwen,FREE_COMPLETE_SINGLE_s0,restore,32,4.531543731689453,4.5,0.0
qwen,FREE_COMPLETE_SINGLE_s0,restore_after4,32,3.998079299926758,4.0,0.0
qwen,FREE_COMPLETE_SINGLE_s1,AB,32,,,0.0
qwen,FREE_COMPLETE_SINGLE_s1,ABC,32,,,0.0
qwen,FREE_COMPLETE_SINGLE_s1,AB_cross,32,,,0.0
qwen,FREE_COMPLETE_SINGLE_s1,BA,32,,,0.0
qwen,FREE_COMPLETE_SINGLE_s1,CBA,32,,,0.0
qwen,FREE_COMPLETE_SINGLE_s1,noop,32,4.466667175292969,4.4609375,0.0
qwen,FREE_COMPLETE_SINGLE_s1,overwrite,32,1.8349025249481201,1.828125,0.0
qwen,FREE_COMPLETE_SINGLE_s1,repeat2,32,2.0299949645996094,2.125,0.0
qwen,FREE_COMPLETE_SINGLE_s1,repeat4,32,4.311529159545898,4.375,0.0
qwen,FREE_COMPLETE_SINGLE_s1,repeat8,32,4.796480178833008,4.875,0.0
qwen,FREE_COMPLETE_SINGLE_s1,restore,32,4.051767349243164,4.046875,0.0
qwen,FREE_COMPLETE_SINGLE_s1,restore_after4,32,4.237968444824219,4.25,0.0
qwen,FREE_SPARSE_CONTINUE_s0,AB,32,,,0.0
qwen,FREE_SPARSE_CONTINUE_s0,ABC,32,,,0.0
qwen,FREE_SPARSE_CONTINUE_s0,AB_cross,32,,,0.0
qwen,FREE_SPARSE_CONTINUE_s0,BA,32,,,0.0
qwen,FREE_SPARSE_CONTINUE_s0,CBA,32,,,0.0
qwen,FREE_SPARSE_CONTINUE_s0,noop,32,4.2508978843688965,4.2578125,0.0
qwen,FREE_SPARSE_CONTINUE_s0,overwrite,32,1.622833251953125,1.75,0.0
qwen,FREE_SPARSE_CONTINUE_s0,repeat2,32,1.8540534973144531,1.875,0.0
qwen,FREE_SPARSE_CONTINUE_s0,repeat4,32,3.027240753173828,3.015625,0.0
qwen,FREE_SPARSE_CONTINUE_s0,repeat8,32,4.537258148193359,4.53125,0.0
qwen,FREE_SPARSE_CONTINUE_s0,restore,32,3.6635308265686035,3.66796875,0.0
