model,population,family,direction_id,dose,items,boards,mean_semantic_margin,mean_delta_from_zero,delta_ci_low,delta_ci_high,verdict_change_rate_from_zero
gemma,BOTH_CLEAR,dim,frozen_dim,-2.0,297,121,-6.715698653198653,-6.028193874546318,-6.663096160470372,-5.407540247164484,0.4579124579124579
gemma,BOTH_CLEAR,dim,frozen_dim,-1.0,297,121,-2.43560605659228,-1.6570678354951631,-1.857317493112948,-1.4735687766521757,0.0606060606060606
gemma,BOTH_CLEAR,dim,frozen_dim,-0.5,297,121,-1.472011781702138,-0.6874139128309309,-0.7854737010951212,-0.6004616542952779,0.0202020202020202
gemma,BOTH_CLEAR,dim,frozen_dim,0.0,297,121,-0.7870370354315247,0.0,0.0,0.0,0.0
gemma,BOTH_CLEAR,dim,frozen_dim,0.5,297,121,0.0096801354828908,0.7948949697424886,0.6910253097203153,0.9149890227936024,0.0505050505050505
gemma,BOTH_CLEAR,dim,frozen_dim,1.0,297,121,1.3707912435836664,2.148760324503108,1.9169216978432968,2.388740735364559,0.1144781144781144
gemma,BOTH_CLEAR,dim,frozen_dim,2.0,297,121,5.451388885978898,6.273545103624833,5.728439212980431,6.823318050502088,0.5050505050505051
gemma,BOTH_CLEAR,opposite_dim,negative_frozen_dim,-2.0,297,121,5.451388885978898,6.273545103624833,5.721204586684211,6.830716237624896,0.5050505050505051
gemma,BOTH_CLEAR,opposite_dim,negative_frozen_dim,-1.0,297,121,1.3707912435836664,2.148760324503108,1.9102068228385416,2.3898168258707626,0.1144781144781144
gemma,BOTH_CLEAR,opposite_dim,negative_frozen_dim,-0.5,297,121,0.0096801354828908,0.7948949697424886,0.6909273860580992,0.9142131454401108,0.0505050505050505
gemma,BOTH_CLEAR,opposite_dim,negative_frozen_dim,0.0,297,121,-0.7870370354315247,0.0,0.0,0.0,0.0
gemma,BOTH_CLEAR,opposite_dim,negative_frozen_dim,0.5,297,121,-1.472011781702138,-0.6874139128309309,-0.7859461100469278,-0.6025288407221314,0.0202020202020202
gemma,BOTH_CLEAR,opposite_dim,negative_frozen_dim,1.0,297,121,-2.43560605659228,-1.6570678354951631,-1.8600744588644376,-1.473558017701814,0.0606060606060606
gemma,BOTH_CLEAR,opposite_dim,negative_frozen_dim,2.0,297,121,-6.715698653198653,-6.028193874546318,-6.668044077091883,-5.40008824797496,0.4579124579124579
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082101,-2.0,297,121,-0.5286195285191841,0.2528409052527312,0.2199541492320946,0.2856835339408234,0.0067340067340067
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082101,-1.0,297,121,-0.6590909104957323,0.1223743064919122,0.1042516788513946,0.1405819549376642,0.0067340067340067
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082101,-0.5,297,121,-0.7251683497669721,0.0597451756151582,0.0474765375297588,0.0719288049978986,0.0033670033670033
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082101,0.0,297,121,-0.7870370354315247,0.0,0.0,0.0,0.0
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082101,0.5,297,121,-0.8470117849131626,-0.05686123016452,-0.0680096462410015,-0.0458408660632519,0.0
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082101,1.0,297,121,-0.9031986536000312,-0.1095902248190782,-0.1309411678842933,-0.0891432076569431,0.0
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082101,2.0,297,121,-1.0077861960889514,-0.2071711478482921,-0.2498719452662244,-0.1650718913919013,0.0033670033670033
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082102,-2.0,297,121,-0.902777778580534,-0.1127324426141323,-0.1558658363897938,-0.0695570770620314,0.0033670033670033
gemma,BOTH_CLEAR,random_orthogonal,orthogonal_2026082102,-1.0,297,121,-0.860058924967191,-0.0732179807073157,-0.0931043434549461,-0.0538040262197988,0.0
