actor,condition,program,n,max_workspace,mean_workspace,max_bf16,hash_equal_single_fraction
gemma,FROZEN_V2_TAIL_s0,repeat2,64,7.1875,6.93359375,7.1875,0.0
gemma,FROZEN_V2_TAIL_s0,repeat4,64,21.6875,20.890625,21.6875,0.0
gemma,FROZEN_V2_TAIL_s0,repeat8,64,50.15625,48.798828125,50.15625,0.0
gemma,FROZEN_V2_TAIL_s0,restore,64,7.2021484375,7.087019920349121,7.2021484375,0.0
gemma,FROZEN_V2_TAIL_s0,restore_after4,64,23.1875,21.743408203125,23.1875,0.0
gemma,FROZEN_V2_TAIL_s1,AB,64,6.8125,6.666877746582031,6.8125,0.0
gemma,FROZEN_V2_TAIL_s1,ABC,64,13.59375,11.023139953613281,13.59375,0.0
gemma,FROZEN_V2_TAIL_s1,AB_cross,64,6.859375,6.6429290771484375,6.859375,0.0
gemma,FROZEN_V2_TAIL_s1,BA,64,7.0625,6.6822357177734375,7.0625,0.0
gemma,FROZEN_V2_TAIL_s1,CBA,64,14.09375,10.98870849609375,14.09375,0.0
gemma,FROZEN_V2_TAIL_s1,noop,64,11.09375,10.607955932617188,11.09375,0.0
gemma,FROZEN_V2_TAIL_s1,overwrite,64,10.59375,10.1654052734375,10.59375,0.0
gemma,FROZEN_V2_TAIL_s1,repeat2,64,7.09375,6.752197265625,7.09375,0.0
gemma,FROZEN_V2_TAIL_s1,repeat4,64,20.84375,20.2275390625,20.84375,0.0
gemma,FROZEN_V2_TAIL_s1,repeat8,64,47.6875,46.9873046875,47.6875,0.0
gemma,FROZEN_V2_TAIL_s1,restore,64,7.1689453125,6.859703063964844,7.1689453125,0.0
gemma,FROZEN_V2_TAIL_s1,restore_after4,64,23.6875,22.738037109375,23.6875,0.0
gemma,INVARIANT_SET_s0,AB,64,,,,0.0
gemma,INVARIANT_SET_s0,ABC,64,,,,0.0
gemma,INVARIANT_SET_s0,AB_cross,64,,,,0.0
gemma,INVARIANT_SET_s0,BA,64,,,,0.0
gemma,INVARIANT_SET_s0,CBA,64,,,,0.0
gemma,INVARIANT_SET_s0,noop,64,9.403040885925293,8.162651762366295,9.3984375,0.0
gemma,INVARIANT_SET_s0,overwrite,64,1.52587890625e-05,1.2129545211791992e-05,0.03125,0.046875
gemma,INVARIANT_SET_s0,repeat2,64,1.52587890625e-05,9.447336196899414e-06,0.015625,0.078125
gemma,INVARIANT_SET_s0,repeat4,64,1.52587890625e-05,1.1086463928222656e-05,0.03125,0.0625
gemma,INVARIANT_SET_s0,repeat8,64,2.6702880859375e-05,1.658499240875244e-05,0.03125,0.03125
gemma,INVARIANT_SET_s0,restore,64,9.403039932250977,8.162651740014553,9.3984375,0.0
gemma,INVARIANT_SET_s0,restore_after4,64,9.40304183959961,8.16265169531107,9.3984375,0.0
gemma,INVARIANT_SET_s1,AB,64,,,,0.0
gemma,INVARIANT_SET_s1,ABC,64,,,,0.0
gemma,INVARIANT_SET_s1,AB_cross,64,,,,0.0
gemma,INVARIANT_SET_s1,BA,64,,,,0.0
gemma,INVARIANT_SET_s1,CBA,64,,,,0.0
gemma,INVARIANT_SET_s1,noop,64,10.183258056640625,8.953216060996056,10.1640625,0.0
