actor,condition,program,changed,harm,conditional_harm,all24,all_program_questions,accuracy,accuracy_all_program_questions,touched_accuracy,other_address_error,preservation,nonaddressed_change,additional_accuracy,n_scenes,disagreement_vs_single,mean_abs_dlogp_vs_single,energy,cast_error,commands,shared_from
gemma,INVARIANT_SET_s0,single,0.921875,0.029947916666666664,0.029947916666666664,0.515625,0.515625,0.9446614583333333,0.9446614583333333,0.959375,0.0359375,0.9700520833333333,0.015625,,64,0.0,0.0,43374.25003051758,0.5398296001367271,1.0,[]
gemma,INVARIANT_SET_s0,noop,,0.007161458333333334,0.007770224567099568,0.609375,0.609375,0.970703125,0.970703125,0.9671875000000001,0.026785714285714284,0.9922297754329005,0.0,,64,0.4479166666666667,0.3512804408220684,34325.75244140625,0.5294187795370817,1.0,[]
gemma,INVARIANT_SET_s0,repeat2,0.9231770833333334,0.03255208333333333,0.03255208333333333,0.515625,0.515625,0.9440104166666666,0.9440104166666666,0.959375,0.037500000000000006,0.9674479166666667,0.015625,,64,0.001953125,0.005045834461386771,43374.250579833984,0.5398297174833715,2.0,"[""single""]"
gemma,INVARIANT_SET_s0,repeat4,0.921875,0.029947916666666664,0.029947916666666664,0.515625,0.515625,0.9446614583333334,0.9446614583333334,0.959375,0.0359375,0.9700520833333333,0.015625,,64,0.0013020833333333333,0.004786026073106815,43374.24768066406,0.5398297975771129,4.0,"[""repeat2"", ""single""]"
gemma,INVARIANT_SET_s0,repeat8,0.9231770833333334,0.03125,0.03125,0.515625,0.515625,0.9446614583333333,0.9446614583333333,0.959375,0.0359375,0.96875,0.015625,,64,0.0013020833333333333,0.004491997915382721,43374.250427246094,0.5398297598585486,8.0,"[""repeat2"", ""repeat4"", ""single""]"
gemma,INVARIANT_SET_s0,restore,,0.007161458333333334,0.007770224567099568,0.609375,0.609375,0.970703125,0.970703125,0.9671875000000001,0.026785714285714284,0.9922297754329005,0.0,,64,0.4479166666666667,0.35101247565552285,34325.75845336914,0.5294189797714353,2.0,"[""noop""]"
gemma,INVARIANT_SET_s0,restore_after4,,0.0078125,0.008449572393186524,0.59375,0.59375,0.9700520833333333,0.9700520833333333,0.9671875000000001,0.027901785714285712,0.9915504276068134,0.0,,64,0.447265625,0.35183824683473475,34325.748474121094,0.5294186561368406,5.0,"[""noop"", ""restore""]"
gemma,INVARIANT_SET_s0,overwrite,0.9244791666666667,0.03125,0.03125,0.515625,0.515625,0.9453125,0.9453125,0.9609375,0.037500000000000006,0.96875,0.015625,,64,0.001953125,0.004916897271758813,43374.25067138672,0.5398296965286136,3.0,"[""repeat2"", ""repeat8"", ""single""]"
gemma,INVARIANT_SET_s0,AB,0.9166666666666666,0.08854166666666666,0.09607007575757576,0.34375,0.34375,0.9127604166666666,0.9127604166666666,0.9109375,0.05208333333333333,0.9039299242424242,0.0234375,,64,0.3561197916666667,0.3672454882004554,86743.3408203125,0.5480968724004924,2.0,[]
gemma,INVARIANT_SET_s0,BA,0.9166666666666666,0.08854166666666666,0.09607007575757576,0.34375,0.34375,0.9127604166666666,0.9127604166666666,0.9109375,0.05208333333333333,0.9039299242424242,0.0234375,,64,0.3561197916666667,0.3672454882004554,86743.3408203125,0.5480968724004924,2.0,"[""AB""]"
gemma,INVARIANT_SET_s0,ABC,0.9488932291666667,0.09993489583333333,0.11842053345959597,0.3125,0.3125,0.9134114583333333,0.9188701923076923,0.8875,0.08489583333333334,0.881579466540404,0.015625,0.984375,64,0.4544270833333333,0.5443672561024245,130418.05151367188,0.5593922371044755,3.0,[]
gemma,INVARIANT_SET_s0,CBA,0.9488932291666667,0.09993489583333333,0.11842053345959597,0.3125,0.3125,0.9134114583333333,0.9188701923076923,0.8875,0.08489583333333334,0.881579466540404,0.015625,0.984375,64,0.4544270833333333,0.5443672561024245,130418.05151367188,0.5593922371044755,3.0,"[""ABC""]"
gemma,INVARIANT_SET_s0,AB_cross,0.859375,0.06380208333333333,0.06380208333333333,0.296875,0.296875,0.8977864583333334,0.9056490384615385,0.875,0.0578125,0.9361979166666667,0.03125,1.0,64,0.07682291666666667,0.3497431301023421,86882.31079101562,0.5541213424876332,2.0,[]
gemma,INVARIANT_SET_s1,single,0.9296875,0.01171875,0.01171875,0.546875,0.546875,0.9576822916666667,0.9576822916666667,0.9484375,0.010937500000000001,0.98828125,0.00390625,,64,0.0,0.0,56886.044860839844,0.5582392727956176,1.0,[]
gemma,INVARIANT_SET_s1,noop,,0.009114583333333332,0.010729156605694077,0.515625,0.515625,0.9583333333333333,0.9583333333333333,0.953125,0.03794642857142857,0.9892708433943058,0.015625,,64,0.4407552083333333,0.3116326059345506,62367.185791015625,0.5581986485049129,1.0,[]
gemma,INVARIANT_SET_s1,repeat2,0.9283854166666666,0.01171875,0.01171875,0.546875,0.546875,0.95703125,0.95703125,0.9484375,0.010937500000000001,0.98828125,0.00390625,,64,0.001953125,0.004325562758853134,56886.03631591797,0.5582399219274521,2.0,"[""single""]"
