actor,arm,lr,seed,epoch,strength,cal_changed,cal_harm,cal_all24,cal_dir0,cal_dir1,cal_feasible,frontier,fit_changed,fit_harm,fit_loss,train_loss,reg_train,realized_norm,frobenius,visits,steps,train_seconds,eval_seconds,not_extended
gemma,CONTINUED_AFFINE,0.001,0,1,0.75,0.7256944444444443,0.0,0.4583333333333333,0.5069444444444444,0.9444444444444443,False,"[0, 0.7256944444444443]",0.9756944444444443,0.004629629629629629,0.041742587115598126,0.04602608212426781,,77.32359741919277,226.80330442047472,1440,360,84.78821907700058,70.96671744899959,True
gemma,CONTINUED_AFFINE,0.001,0,1,1.0,0.9340277777777777,0.005787037037037038,0.7291666666666666,0.9097222222222223,0.9583333333333334,True,"[1, 0.9340277777777777]",0.9756944444444443,0.004629629629629629,0.041742587115598126,0.04602608212426781,,103.09734453684587,302.40211977775743,1440,360,84.78821907700058,88.67945454799974,True
gemma,CONTINUED_AFFINE,0.001,0,1,1.25,0.9583333333333334,0.03819444444444444,0.6666666666666666,0.9444444444444443,0.9722222222222223,True,"[1, 0.9583333333333334]",0.9756944444444443,0.004629629629629629,0.041742587115598126,0.04602608212426781,,128.87183006773603,378.0031547630769,1440,360,84.78821907700058,106.38840807499946,True
gemma,CONTINUED_AFFINE,0.001,0,2,0.5,0.3298611111111111,0.0,0.08333333333333333,0.18055555555555555,0.4791666666666667,False,"[0, 0.3298611111111111]",0.9947916666666666,0.0,0.0031454328718053958,0.007663110206986959,,51.594138139912886,151.33314565908356,2880,720,86.5930406360003,53.25266347100023,True
gemma,CONTINUED_AFFINE,0.001,0,2,0.75,0.9097222222222223,0.0,0.7291666666666666,0.888888888888889,0.9305555555555555,True,"[1, 0.9097222222222223]",0.9947916666666666,0.0,0.0031454328718053958,0.007663110206986959,,77.39018670087626,226.9967235627269,2880,720,86.5930406360003,71.02662197799964,True
gemma,CONTINUED_AFFINE,0.001,0,2,1.0,0.9652777777777777,0.0011574074074074073,0.875,1.0,0.9305555555555555,True,"[1, 0.9652777777777777]",0.9947916666666666,0.0,0.0031454328718053958,0.007663110206986959,,103.18690732738266,302.6622101159121,2880,720,86.5930406360003,88.79344467400006,True
gemma,CONTINUED_AFFINE,0.001,0,2,1.25,0.9375,0.0023148148148148147,0.7708333333333334,0.9375,0.9375,True,"[1, 0.9375]",0.9947916666666666,0.0,0.0031454328718053958,0.007663110206986959,,128.98299790166564,378.32594703281615,2880,720,86.5930406360003,106.73112200499963,True
qwen,INVARIANT_SET,0.0003,0,1,1.0,0.8541666666666666,0.03125,0.3541666666666667,0.798611111111111,0.9097222222222223,False,"[0, 0.7916666666666666]",0.9149305555555555,0.020254629629629626,0.3668110019978471,0.5468642434875802,0.004328956150695578,19.492990033058085,62.75447495187392,1440,360,79.74635229199703,43.68136871099705,False
qwen,INVARIANT_SET,0.0003,0,2,1.0,0.9340277777777778,0.019675925925925927,0.5416666666666666,0.9305555555555557,0.9375,True,"[1, 0.9340277777777778]",0.9843749999999999,0.002893518518518519,0.08524049125224932,0.11799949468762676,0.004979088554520988,17.68924745206731,57.24327741714562,2880,720,79.5010464750012,43.51830657000028,False
qwen,INVARIANT_SET,0.0003,0,3,1.0,0.9340277777777778,0.019675925925925923,0.6041666666666666,0.9166666666666666,0.951388888888889,True,"[1, 0.9340277777777778]",0.982638888888889,0.0005787037037037037,0.050061240621066046,0.03954766157155831,0.004047688405262306,17.147821358514427,55.850634243179215,1440,360,79.84139219699864,43.5190145489978,False
qwen,INVARIANT_SET,0.0003,1,1,1.0,0.861111111111111,0.04976851851851852,0.3958333333333333,0.7916666666666666,0.9305555555555557,False,"[0, 0.761574074074074]",0.9340277777777778,0.020833333333333332,0.314983686231805,0.45678504467619835,0.0043082745457973535,19.03751208519172,60.97315653655565,1440,360,80.01591515399923,43.604493212002126,False
qwen,INVARIANT_SET,0.0003,1,2,1.0,0.8993055555555555,0.013888888888888888,0.4791666666666667,0.888888888888889,0.9097222222222223,True,"[1, 0.8993055555555555]",0.982638888888889,0.001736111111111111,0.04286147473005731,0.0891533832229052,0.0046710548903016996,16.711365359533723,54.29546661071906,2880,720,78.7413248619996,43.61198142899957,False
qwen,INVARIANT_SET,0.0003,1,3,1.0,0.9097222222222223,0.016203703703703703,0.5416666666666666,0.875,0.9444444444444445,True,"[1, 0.9097222222222223]",0.9895833333333334,0.0,0.026949392523623574,0.031576612571198835,0.003905954355205823,16.58682497794942,55.0378030271186,4320,1080,78.53548565299934,43.67669967600159,False
qwen,INVARIANT_SET,0.001,0,1,1.0,0.8506944444444445,0.021990740740740738,0.375,0.798611111111111,0.9027777777777778,False,"[0, 0.806712962962963]",0.8854166666666666,0.03472222222222222,0.41842483460184554,0.4660513165607131,0.00983221969250331,29.44822257099627,95.94493364054124,1440,360,79.87034051900264,43.57815425899753,True
qwen,INVARIANT_SET,0.001,0,2,1.0,0.90625,0.011574074074074075,0.5833333333333334,0.8819444444444443,0.9305555555555557,True,"[1, 0.90625]",0.9826388888888888,0.004050925925925926,0.0658028616300235,0.11937121744939883,0.012412397150829849,26.251374478017734,87.34909381933613,2880,720,79.52787344399985,43.53349070799959,True
qwen,FREE_OVERWRITE,0.0003,0,1,1.0,0.8506944444444443,0.06481481481481481,0.3125,0.7847222222222222,0.9166666666666666,False,"[0, 0.7210648148148147]",0.9166666666666666,0.03993055555555555,0.41585477168782403,0.7747454845570303,0.003914653469540023,19.416833161883506,64.22318335716315,1440,360,78.98851317699882,43.547291099002905,True
qwen,FREE_OVERWRITE,0.0003,0,2,1.0,0.8784722222222223,0.07407407407407407,0.3125,0.8472222222222222,0.9097222222222223,False,"[0, 0.7303240740740742]",0.967013888888889,0.02777777777777778,0.19262732594314233,0.13317501171083912,0.005781764996289793,18.703868218588234,61.76001712819332,2880,720,79.87146454700269,43.696280162999756,True
