actor,arm,lr,seed,epoch,strength,cal_changed,cal_harm,cal_all24,cal_dir0,cal_dir1,cal_feasible,frontier,fit_changed,fit_harm,fit_loss,train_loss,saturation,realized_norm,frobenius,visits,steps,train_seconds,eval_seconds,not_extended
gemma,QUERY_CLAUSE,0.001,1,1,1.25,0.9479166666666666,0.020833333333333332,0.6875,0.90625,0.9895833333333334,True,"[1, 0.9479166666666666]",0.986111111111111,0.006365740740740741,0.03216917260691364,0.057843039188325444,0.9869965112591182,128.98282414027622,381.2961392069327,1440,360,173.57835931099908,182.56277711499934,False
gemma,QUERY_CLAUSE,0.001,1,2,0.5,0.42708333333333326,0.010416666666666666,0.125,0.29166666666666663,0.5625,False,"[0, 0.40624999999999994]",0.9947916666666666,0.0,0.005459537099175627,0.006175123379954231,0.9998414208690136,51.59479895909627,152.52339860902708,2880,720,180.0074625799989,104.61782337600016,False
gemma,QUERY_CLAUSE,0.001,1,2,0.75,0.890625,0.015625,0.6875,0.8229166666666666,0.9583333333333333,True,"[1, 0.890625]",0.9947916666666666,0.0,0.005459537099175627,0.006175123379954231,0.9998414208690136,77.39049129849388,228.77998912253224,2880,720,180.0074625799989,130.7454347439998,False
gemma,QUERY_CLAUSE,0.001,1,2,1.0,0.953125,0.010416666666666666,0.84375,0.90625,1.0,True,"[1, 0.953125]",0.9947916666666666,0.0,0.005459537099175627,0.006175123379954231,0.9998414208690136,103.18621506645566,305.0367304294229,2880,720,180.0074625799989,156.84718283799884,False
gemma,QUERY_CLAUSE,0.001,1,2,1.25,0.9583333333333333,0.010416666666666666,0.84375,0.9166666666666666,1.0,True,"[1, 0.9583333333333333]",0.9947916666666666,0.0,0.005459537099175627,0.006175123379954231,0.9998414208690136,128.98284141177223,381.29616117114557,2880,720,180.0074625799989,182.9542559349993,False
gemma,QUERY_TAIL,0.0003,0,1,0.5,0.28645833333333337,0.015625,0.0625,0.1875,0.38541666666666663,False,"[0, 0.25520833333333337]",0.9791666666666666,0.0,0.029285332479601797,0.0370248271190778,0.9031248179859048,50.68739157741146,367.7595301460641,1440,360,181.2409473020016,106.23231838799984,False
gemma,QUERY_TAIL,0.0003,0,1,0.75,0.7239583333333333,0.015625,0.5,0.5833333333333333,0.8645833333333333,False,"[0, 0.6927083333333333]",0.9791666666666666,0.0,0.029285332479601797,0.0370248271190778,0.9031248179859048,76.02957263872163,551.6279275943124,1440,360,181.2409473020016,132.65936207400046,False
gemma,QUERY_TAIL,0.0003,0,1,1.0,0.9114583333333334,0.006944444444444444,0.59375,0.875,0.9479166666666667,True,"[1, 0.9114583333333334]",0.9791666666666666,0.0,0.029285332479601797,0.0370248271190778,0.9031248179859048,101.3727349913454,735.5038611273718,1440,360,181.2409473020016,159.67251360599948,False
gemma,QUERY_TAIL,0.0003,0,1,1.25,0.8958333333333333,0.006944444444444444,0.65625,0.8958333333333333,0.8958333333333333,True,"[1, 0.8958333333333333]",0.9791666666666666,0.0,0.029285332479601797,0.0370248271190778,0.9031248179859048,126.71667884481361,919.3852288732302,1440,360,181.2409473020016,186.41515404799975,False
gemma,QUERY_TAIL,0.0003,0,2,0.5,0.328125,0.010416666666666666,0.09375,0.3020833333333333,0.35416666666666663,False,"[0, 0.3072916666666667]",0.998263888888889,0.0,0.0026662590578060493,0.004573889897740931,0.9296843147533345,50.81077024225096,368.64787282828564,2880,720,178.12282889999915,106.27634187200056,False
gemma,QUERY_TAIL,0.0003,0,2,0.75,0.8020833333333333,0.015625,0.59375,0.7708333333333333,0.8333333333333333,False,"[0, 0.7708333333333333]",0.998263888888889,0.0,0.0026662590578060493,0.004573889897740931,0.9296843147533345,76.21324094147262,552.9501774829912,2880,720,178.12282889999915,132.95678511299957,False
gemma,QUERY_TAIL,0.0003,0,2,1.0,0.9791666666666666,0.017361111111111112,0.78125,0.9791666666666666,0.9791666666666666,True,"[1, 0.9791666666666666]",0.998263888888889,0.0,0.0026662590578060493,0.004573889897740931,0.9296843147533345,101.61788829435329,737.2688242055858,2880,720,178.12282889999915,159.53651981700023,False
gemma,QUERY_TAIL,0.0003,0,2,1.25,0.984375,0.006944444444444444,0.8125,0.96875,1.0,True,"[1, 0.984375]",0.998263888888889,0.0,0.0026662590578060493,0.004573889897740931,0.9296843147533345,127.02286957002939,921.5901622836033,2880,720,178.12282889999915,186.05991032199927,False
gemma,QUERY_TAIL,0.0003,1,1,0.5,0.421875,0.027777777777777776,0.125,0.23958333333333331,0.6041666666666666,False,"[0, 0.3663194444444444]",0.9947916666666666,0.0023148148148148147,0.020315123558040996,0.03888666618674203,0.9819878851418253,51.397377126714,373.13773086675957,1440,360,181.7483784699998,106.12641669500044,False
gemma,QUERY_TAIL,0.0003,1,1,0.75,0.8020833333333334,0.04513888888888889,0.4375,0.6458333333333334,0.9583333333333334,False,"[0, 0.7118055555555556]",0.9947916666666666,0.0023148148148148147,0.020315123558040996,0.03888666618674203,0.9819878851418253,77.09349199441215,559.6877477940583,1440,360,181.7483784699998,132.75398536399916,False
gemma,QUERY_TAIL,0.0003,1,1,1.0,0.9739583333333333,0.03645833333333333,0.75,0.9479166666666666,1.0,True,"[1, 0.9739583333333333]",0.9947916666666666,0.0023148148148148147,0.020315123558040996,0.03888666618674203,0.9819878851418253,102.79213855944963,746.2562680523564,1440,360,181.7483784699998,159.34169062900037,False
gemma,QUERY_TAIL,0.0003,1,1,1.25,0.9583333333333333,0.0642361111111111,0.75,0.9375,0.9791666666666666,False,"[0, 0.829861111111111]",0.9947916666666666,0.0023148148148148147,0.020315123558040996,0.03888666618674203,0.9819878851418253,128.4893622753096,932.814586503526,1440,360,181.7483784699998,185.94228437099991,False
gemma,QUERY_TAIL,0.0003,1,2,0.5,0.44270833333333337,0.03298611111111111,0.15625,0.29166666666666663,0.59375,False,"[0, 0.37673611111111116]",1.0,0.001736111111111111,0.00446609849071188,0.006150385826226234,0.9777797192614596,51.28676307174621,372.5292609244224,2880,720,179.98540682099883,106.2033080630008,False
